yorum, puan
"dünyayı uzaylılar işgal ederse, insanlığı putin yönetsin." ,4
"şarkı yarışmasına katılmış olarak;https://www.youtube.com/watch?v=utqvcs4pljk" ,3
"garry kasparov'a göre kendisi dünyanın en tehlikeli insanıdır.http://www.kasparov.com/…-s-than-the-islamic-state/" ,3
"http://nymag.com/…ay-present-hercules-art-show.html" ,3
"ukraynakrizi ve kötü giden ekonomiye rağmen ülkesinde popülaritesi azalmak bir yana, giderek artanruslider.http://www.lefigaro.fr/…lus-populaire-en-russie.php" ,3
"""ukrayna bizim borudan gaz alirsa keserim gazi ha!"" tehditi savurmus pasam:http://www.cnbc.com/id/102078856hep yazdik bunlari:(bkz:#45576251)" ,4
"ülkesindeyabancı medyaoranının yüzde 20 ile sınırlandırılmasını öngören yasa nedeniyle eleştirilenrusya federasyonudevlet başkanı.http://www.aljazeera.com/…20141016161557366314.html" ,3
"(bkz:adam pisliğin teki çıktı rıza baba)" ,2
"taşakları çok ağır olduğu için gemiye bindirilmeyen şahıs." ,5
"dunyaya yapmak istedigi trolluk planlari petrol fiyatlarinin dusmesi ve ekonomik yaptirimlar sayesinde gotunde patlamis diktator bozuntusu.kuzey amerika petrolunun dunya'ya ihracati ile opec'in bir nevi tekelinin bozulmasi hic isine yaramadi.ha bir de ozgurluk duskunu, sevgi piticigi sozluk solculari tarafindan cok sevilir." ,2
"güney kıbrıs rum kesimi'ne yönelik ilgisini son anastasiadis görüşmesiyle bir kez daha gösterenruslider. elbette bunda en büyük etken;güney kıbrıs'ta rus kara para aklama (bu bir devlet politikasıdır) faaliyetlerinin yoğunlaşması. bu durumdarumların masadan kalkma stratejisi de bir temele oturuyor.abd,kıbrıs sorununda hala rumlara yakın duruyor ama rum tarafında esas güçlü aktör rusya ve rus mafyası.http://turkish.ruvr.ru/…yen-gucleri-engellemeliyiz/" ,3
"2008 subat'inda, zamaninpolonyadisisleri bakanidonald tusk'a ""yeaa buukraynazaten suni bir ulke.lvovzaten leh sehri. siz lvov'u alin, ben dedonetsk'i alayim. aramizda anlasalim"" demis.http://www.economist.com/…2014/10/poland-and-russiazannedersin adam bilgisayar'da hearts of iron filan oynuyor.(bkz:molotov-ribbentrop paktı)" ,3
"filistinsorununda alçak tonda da olsaisrail'e yönelik bir eleştiri getirenvlad. gerçekten desoğuk savaş'a dönmek istediğini ve bundan böyleorta doğu'da dasuriyedışında daha güçlü müttefikler arayacağını tahmin ediyorum.http://www.haaretz.com/mobile/1.622688" ,3
